question,mc1_targets,persona,page_url,context
"Which of the following is not a reason to share data according to the NF Portal?",{"choices":["To attract more funding","To inspire new collaborations","To ensure scientific rigor and reproducibility","For peace of mind with cloud storage","To fulfill mandatory requirements"],"labels":[0,0,0,1,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/10-reasons-to-share-your-data","Cloud data storage offers peace of mind, and simplifies collaboration."
"What is the primary purpose of annotation as described in the documentation?",{"choices":["To enhance the visual appeal of datasets","To ensure data is findable and understandable","To check for experimental errors","To prevent unauthorized access"],"labels":[0,1,0,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/how-to-annotate-data","Annotating your data is the process of labeling files so that users can: get a general understanding of what information is contained in the file, determine what type of experiment was performed, determine what type of biospecimen was used, assess whether the data is the type of data that they are looking for."
"Why is metadata important for datasets in the NF Data Portal?",{"choices":["It makes data look more organized","It allows data to be interoperable","It covers up deficiencies in raw data","It's required only for genomic data files"],"labels":[0,1,0,0]},"X","https://help.nf.synapse.org/NFdocs/metadata","The standardized nature of metadata allows the data to be efficiently integrated with other applications."
"If a Principal Investigator (PI) changes institutions but continues the same research project, what should be done with the Synapse project?",{"choices":["Create a new Synapse project and discard the old one","Maintain the same Synapse project and update the institution","Stop the data collection until a decision is made","None of the above"],"labels":[0,1,0,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/opening-a-new-project","If a Principal Investigator (PI) moves to a new institution during an active award... In most cases, the PI will continue using the same Synapse project. Sage will update the PI's contact information and add the new institution. Additionally, members from the new institution may need to be added to the project."
"What is required for a user to be able to upload data onto Synapse?",{"choices":["Registration and quiz certification","Just an email verification","A special request to Sage Bionetworks","None of the above"],"labels":[1,0,0,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/how-to-share-data-an-overview","Certification is required to upload data. Registered Users: As a registered user, you can create projects and wikis. Additionally, registered users can download publicly available data. Subject to meeting project-specific Conditions for Use, they may access controlled data. Certified Users: Once certified, you gain full access to Synapse features, enabling you to upload files and tables and create folders."
"What tool is mentioned as useful for managing multiple datasets and annotations for a project?",{"choices":["Metadata Application","Data Curator App","Data Management Suite","Dataset Organizer"],"labels":[0,1,0,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/how-to-annotate-data","Video Tutorial: Annotating Data With the Data Curator App"
"What is not an objective of the NF Data Portal according to the documentation?",{"choices":["To store and share data from NF research","To facilitate open science","To charge users for data access","To store experimental protocols"],"labels":[0,0,1,0]},"X","https://help.nf.synapse.org/NFdocs/about","The NF Data Portal is a public data repository that stores and shares data generated by multiple collaborative research programs."
"When contributing a research tool to NF Research Tools Central, what type of information is not encouraged for submission?",{"choices":["Biobanks","Antibodies","Proprietary information","Animal models"],"labels":[0,0,1,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/neurofibromatosis-research-tools-database","You are encouraged to speak with your institutional technology transfer office prior to sharing any proprietary information."
"What is the recommended license for non-human data according to Sage Bionetworks?",{"choices":["MIT License","GPL License","CC0 License","Apache License"],"labels":[0,0,1,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/about-data-licensing","The default option for non-human data is CC0, which Creative Commons refers to as a ‘no rights reserved’ license."
"Who should be contacted if a contributor wants to update or amend a submitted tool observation?",{"choices":["Technical Support","Research Committee","Sage Bionetworks Team","Funder"],"labels":[0,0,1,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/how-to-update-a-contribution","Please feel free to contact us at nf-osi@sagebionetworks.org or by using the “Need more help?” button in the corner of this page."
"What should an experimenter ensure about their account before uploading any data to Synapse?",{"choices":["Account is certified","Account has a premium membership","Account uses two-factor authentication","Account has biometric recognition"],"labels":[1,0,0,0]},"CONTRIBUTOR","https://help.nf.synapse.org/NFdocs/how-to-upload-data","Ensure your account is certified"
